P_left,P_right,beta_left,vx_left,vx_right,floor_count,completed,max_iterations_seen,min_pressure_seen,step_count
0.005,0.0005,0.0064,0,0.9,0,0,6,0.0005,100001
0.005,0.0005,0.0064,0,0.99,0,0,6,0.0005,100001
0.005,0.0005,0.0064,0.5,-0.9,0,1,6,0.0005,344
0.005,0.0005,0.0064,0.5,-0.5,0,1,5,0.0005,269
0.005,0.0005,0.0064,0.5,0,0,1,5,0.000499488,287
0.005,0.0005,0.0064,0.5,0.5,0,1,5,0.000499892,445
0.005,0.0005,0.0064,0.5,0.9,0,0,6,0.0005,100001
0.005,0.0005,0.0064,0.5,0.99,0,0,6,0.0005,100001
0.005,0.0005,0.0064,0.9,-0.9,0,1,6,0.0005,369
0.005,0.0005,0.0064,0.9,-0.5,0,1,5,0.0005,602
0.005,0.0005,0.0064,0.9,0,0,1,5,0.0005,1057
0.005,0.0005,0.0064,0.9,0.5,0,1,5,0.0005,599
0.005,0.0005,0.0064,0.9,0.9,0,1,6,0.0005,200
0.005,0.0005,0.0064,0.9,0.99,0,1,8,0.0005,200
0.005,0.0005,0.0064,0.99,-0.9,0,1,6,0.0005,570
0.005,0.0005,0.0064,0.99,-0.5,0,0,6,0.0005,100001
0.005,0.0005,0.0064,0.99,0,0,0,6,0.0005,100001
0.005,0.0005,0.0064,0.99,0.5,0,0,6,0.0005,100001
0.005,0.0005,0.0064,0.99,0.9,0,1,6,0.0005,1657
0.005,0.0005,0.0064,0.99,0.99,0,1,8,0.0005,200
0.0025,0.00025,0.0032,-0.9,-0.9,0,1,6,0.000210632,200
0.0025,0.00025,0.0032,-0.9,-0.5,0,1,5,0.000249578,322
0.0025,0.00025,0.0032,-0.9,0,0,1,5,0.000249896,416
0.0025,0.00025,0.0032,-0.9,0.5,0,1,5,0.000249976,398
0.0025,0.00025,0.0032,-0.9,0.9,0,0,6,0.00025,100001
0.0025,0.00025,0.0032,-0.9,0.99,0,0,6,0.00025,100001
0.0025,0.00025,0.0032,-0.5,-0.9,0,1,6,0.00025,214
0.0025,0.00025,0.0032,-0.5,-0.5,0,1,5,0.000249554,209
0.0025,0.00025,0.0032,-0.5,0,0,1,5,0.000249892,228
0.0025,0.00025,0.0032,-0.5,0.5,0,1,5,0.000249975,378
0.0025,0.00025,0.0032,-0.5,0.9,0,0,6,0.00025,100001
0.0025,0.00025,0.0032,-0.5,0.99,0,0,6,0.00025,100001
0.0025,0.00025,0.0032,0,-0.9,0,1,6,0.00025,285
0.0025,0.00025,0.0032,0,-0.5,0,1,5,0.000249604,241
0.0025,0.00025,0.0032,0,0,0,1,5,0.000249887,225
0.0025,0.00025,0.0032,0,0.5,0,1,5,0.000249976,439
0.0025,0.00025,0.0032,0,0.9,0,0,6,0.00025,100001
0.0025,0.00025,0.0032,0,0.99,0,0,6,0.00025,100001
0.0025,0.00025,0.0032,0.5,-0.9,0,1,6,0.00025,342
0.0025,0.00025,0.0032,0.5,-0.5,0,1,5,0.00025,268
0.0025,0.00025,0.0032,0.5,0,0,1,5,0.000249886,286
0.0025,0.00025,0.0032,0.5,0.5,0,1,5,0.000249976,444
0.0025,0.00025,0.0032,0.5,0.9,0,0,6,0.00025,100001
0.0025,0.00025,0.0032,0.5,0.99,0,0,6,0.00025,100001
0.0025,0.00025,0.0032,0.9,-0.9,0,1,6,0.00025,367
0.0025,0.00025,0.0032,0.9,-0.5,0,1,5,0.00025,600
0.0025,0.00025,0.0032,0.9,0,0,1,5,0.00025,1042
0.0025,0.00025,0.0032,0.9,0.5,0,1,5,0.00025,589
0.0025,0.00025,0.0032,0.9,0.9,0,1,6,0.00025,200
0.0025,0.00025,0.0032,0.9,0.99,0,1,8,0.00025,200
0.0025,0.00025,0.0032,0.99,-0.9,0,1,6,0.00025,571
0.0025,0.00025,0.0032,0.99,-0.5,0,0,6,0.00025,100001
0.0025,0.00025,0.0032,0.99,0,0,0,6,0.00025,100001
0.0025,0.00025,0.0032,0.99,0.5,0,0,6,0.00025,100001
0.0025,0.00025,0.0032,0.99,0.9,0,1,6,0.00025,1428
0.0025,0.00025,0.0032,0.99,0.99,0,1,8,0.00025,200
0.001,0.0001,0.00128,-0.9,-0.9,0,1,6,9.96854e-05,200
0.001,0.0001,0.00128,-0.9,-0.5,0,1,5,9.9943e-05,321
0.001,0.0001,0.00128,-0.9,0,0,1,5,9.99853e-05,416
0.001,0.0001,0.00128,-0.9,0.5,0,1,5,9.99966e-05,398
0.001,0.0001,0.00128,-0.9,0.9,0,0,6,0.0001,100001
0.001,0.0001,0.00128,-0.9,0.99,0,0,6,0.0001,100001
0.001,0.0001,0.00128,-0.5,-0.9,0,1,6,0.0001,214
0.001,0.0001,0.00128,-0.5,-0.5,0,1,5,9.99403e-05,209
0.001,0.0001,0.00128,-0.5,0,0,1,5,9.99849e-05,228
0.001,0.0001,0.00128,-0.5,0.5,0,1,5,9.99966e-05,378
0.001,0.0001,0.00128,-0.5,0.9,0,0,6,0.0001,100001
0.001,0.0001,0.00128,-0.5,0.99,0,0,6,0.0001,100001
0.001,0.0001,0.00128,0,-0.9,0,1,6,0.0001,284
0.001,0.0001,0.00128,0,-0.5,0,1,5,9.99496e-05,240
0.001,0.0001,0.00128,0,0,0,1,5,9.99842e-05,225
0.001,0.0001,0.00128,0,0.5,0,1,5,9.99967e-05,439
0.001,0.0001,0.00128,0,0.9,0,0,6,0.0001,100001
0.001,0.0001,0.00128,0,0.99,0,0,6,0.0001,100001
0.001,0.0001,0.00128,0.5,-0.9,0,1,6,0.0001,341
0.001,0.0001,0.00128,0.5,-0.5,0,1,5,0.0001,268
0.001,0.0001,0.00128,0.5,0,0,1,5,9.9984e-05,285
0.001,0.0001,0.00128,0.5,0.5,0,1,5,9.99966e-05,443
0.001,0.0001,0.00128,0.5,0.9,0,0,6,0.0001,100001
0.001,0.0001,0.00128,0.5,0.99,0,0,6,0.0001,100001
0.001,0.0001,0.00128,0.9,-0.9,0,1,6,0.0001,365
0.001,0.0001,0.00128,0.9,-0.5,0,1,5,0.0001,599
0.001,0.0001,0.00128,0.9,0,0,1,5,0.0001,1033
0.001,0.0001,0.00128,0.9,0.5,0,1,5,0.0001,583
0.001,0.0001,0.00128,0.9,0.9,0,1,6,0.0001,200
0.001,0.0001,0.00128,0.9,0.99,0,1,8,0.0001,200
0.001,0.0001,0.00128,0.99,-0.9,0,1,6,0.0001,571
0.001,0.0001,0.00128,0.99,-0.5,0,0,6,0.0001,100001
0.001,0.0001,0.00128,0.99,0,0,0,6,0.0001,100001
0.001,0.0001,0.00128,0.99,0.5,0,0,6,0.0001,100001
0.001,0.0001,0.00128,0.99,0.9,0,1,6,0.0001,1316
0.001,0.0001,0.00128,0.99,0.99,0,1,8,0.0001,200
0.0005,5e-05,0.00064,-0.9,-0.9,0,1,6,4.99445e-05,200
0.0005,5e-05,0.00064,-0.9,-0.5,0,1,5,4.99871e-05,321
0.0005,5e-05,0.00064,-0.9,0,0,1,5,4.99966e-05,416
0.0005,5e-05,0.00064,-0.9,0.5,0,1,5,4.99992e-05,398
0.0005,5e-05,0.00064,-0.9,0.9,0,0,6,5e-05,100001
0.0005,5e-05,0.00064,-0.9,0.99,0,0,6,5e-05,100001
0.0005,5e-05,0.00064,-0.5,-0.9,0,1,6,5e-05,213
0.0005,5e-05,0.00064,-0.5,-0.5,0,1,5,4.99866e-05,209
0.0005,5e-05,0.00064,-0.5,0,0,1,5,4.99965e-05,228
0.0005,5e-05,0.00064,-0.5,0.5,0,1,5,4.99992e-05,378
0.0005,5e-05,0.00064,-0.5,0.9,0,0,6,5e-05,100001
0.0005,5e-05,0.00064,-0.5,0.99,0,0,6,5e-05,100001
0.0005,5e-05,0.00064,0,-0.9,0,1,6,5e-05,283
0.0005,5e-05,0.00064,0,-0.5,0,1,5,4.99893e-05,240
0.0005,5e-05,0.00064,0,0,0,1,5,4.99964e-05,224
0.0005,5e-05,0.00064,0,0.5,0,1,5,4.99992e-05,439
0.0005,5e-05,0.00064,0,0.9,0,0,6,5e-05,100001
0.0005,5e-05,0.00064,0,0.99,0,0,6,5e-05,100001
0.0005,5e-05,0.00064,0.5,-0.9,0,1,6,5e-05,340
0.0005,5e-05,0.00064,0.5,-0.5,0,1,5,5e-05,268
0.0005,5e-05,0.00064,0.5,0,0,1,5,4.99963e-05,285
0.0005,5e-05,0.00064,0.5,0.5,0,1,5,4.99992e-05,443
0.0005,5e-05,0.00064,0.5,0.9,0,0,6,5e-05,100001
0.0005,5e-05,0.00064,0.5,0.99,0,0,6,5e-05,100001
0.0005,5e-05,0.00064,0.9,-0.9,0,1,6,5e-05,365
0.0005,5e-05,0.00064,0.9,-0.5,0,1,5,5e-05,599
0.0005,5e-05,0.00064,0.9,0,0,1,5,5e-05,1031
0.0005,5e-05,0.00064,0.9,0.5,0,1,5,5e-05,581
0.0005,5e-05,0.00064,0.9,0.9,0,1,6,5e-05,200
0.0005,5e-05,0.00064,0.9,0.99,0,1,8,5e-05,200
0.0005,5e-05,0.00064,0.99,-0.9,0,1,6,5e-05,571
0.0005,5e-05,0.00064,0.99,-0.5,0,0,6,5e-05,100001
0.0005,5e-05,0.00064,0.99,0,0,0,6,5e-05,100001
0.0005,5e-05,0.00064,0.99,0.5,0,0,6,5e-05,100001
0.0005,5e-05,0.00064,0.99,0.9,0,1,6,5e-05,1281
0.0005,5e-05,0.00064,0.99,0.99,0,1,8,5e-05,200
0.00025,2.5e-05,0.00032,-0.9,-0.9,0,1,6,2.49895e-05,200
0.00025,2.5e-05,0.00032,-0.9,-0.5,0,1,5,2.49971e-05,321
0.00025,2.5e-05,0.00032,-0.9,0,0,1,5,2.49992e-05,416
0.00025,2.5e-05,0.00032,-0.9,0.5,0,1,5,2.49998e-05,398
0.00025,2.5e-05,0.00032,-0.9,0.9,0,0,6,2.5e-05,100001
0.00025,2.5e-05,0.00032,-0.9,0.99,0,0,6,2.5e-05,100001
0.00025,2.5e-05,0.00032,-0.5,-0.9,0,1,6,2.5e-05,213
0.00025,2.5e-05,0.00032,-0.5,-0.5,0,1,5,2.4997e-05,209
0.00025,2.5e-05,0.00032,-0.5,0,0,1,5,2.49992e-05,228
0.00025,2.5e-05,0.00032,-0.5,0.5,0,1,5,2.49998e-05,378
0.00025,2.5e-05,0.00032,-0.5,0.9,0,0,6,2.5e-05,100001
0.00025,2.5e-05,0.00032,-0.5,0.99,0,0,6,2.5e-05,100001
0.00025,2.5e-05,0.00032,0,-0.9,0,1,6,2.5e-05,283
0.00025,2.5e-05,0.00032,0,-0.5,0,1,5,2.49978e-05,240
0.00025,2.5e-05,0.00032,0,0,0,1,5,2.49992e-05,224
0.00025,2.5e-05,0.00032,0,0.5,0,1,5,2.49998e-05,439
0.00025,2.5e-05,0.00032,0,0.9,0,0,6,2.5e-05,100001
0.00025,2.5e-05,0.00032,0,0.99,0,0,6,2.5e-05,100001
0.00025,2.5e-05,0.00032,0.5,-0.9,0,1,6,2.5e-05,340
0.00025,2.5e-05,0.00032,0.5,-0.5,0,1,5,2.5e-05,268
0.00025,2.5e-05,0.00032,0.5,0,0,1,5,2.49992e-05,285
0.00025,2.5e-05,0.00032,0.5,0.5,0,1,5,2.49998e-05,443
0.00025,2.5e-05,0.00032,0.5,0.9,0,0,6,2.5e-05,100001
0.00025,2.5e-05,0.00032,0.5,0.99,0,0,6,2.5e-05,100001
