x,rho,P,vx,By
0.12375,0.0729669,0.00574441,-0.357611,-0.435281
0.12625,0.0734766,0.00577992,-0.355153,-0.439841
0.12875,0.0740721,0.00582445,-0.352209,-0.445061
0.13125,0.0747557,0.00587731,-0.348752,-0.450984
0.13375,0.0755294,0.00593763,-0.344751,-0.457651
0.13625,0.0763948,0.00600437,-0.340177,-0.4651
0.13875,0.0773527,0.00607628,-0.335004,-0.473365
0.14125,0.0784035,0.00615188,-0.329207,-0.482478
0.14375,0.0795467,0.00622951,-0.322762,-0.492469
0.14625,0.0807813,0.00630727,-0.315651,-0.503365
0.14875,0.0821054,0.00638307,-0.30786,-0.515189
0.15125,0.0835164,0.00645461,-0.299379,-0.527959
0.15375,0.0850109,0.00651943,-0.290209,-0.541689
0.15625,0.0865845,0.00657494,-0.280355,-0.556386
0.15875,0.0882316,0.00661852,-0.269835,-0.572046
0.16125,0.0899456,0.00664753,-0.258677,-0.588655
0.16375,0.0917187,0.00665954,-0.246922,-0.606187
0.16625,0.0935414,0.00665234,-0.234626,-0.624592
0.16875,0.0954035,0.00662431,-0.221856,-0.64381
0.17125,0.0972939,0.00657447,-0.208689,-0.66376
0.17375,0.0992004,0.00650264,-0.195217,-0.684338
0.17625,0.10111,0.00640961,-0.181539,-0.70542
0.17875,0.103009,0.00629726,-0.167764,-0.726858
0.18125,0.104884,0.00616855,-0.154008,-0.748483
0.18375,0.10672,0.00602745,-0.14039,-0.770107
0.18625,0.108506,0.00587874,-0.127027,-0.791529
0.18875,0.110226,0.00572773,-0.114037,-0.812541
0.19125,0.111871,0.00557988,-0.101528,-0.832933
0.19375,0.11343,0.00544034,-0.0896029,-0.852502
0.19625,0.114893,0.0053136,-0.0783506,-0.871063
0.19875,0.116253,0.0052031,-0.0678473,-0.888453
0.20125,0.117504,0.00511102,-0.058153,-0.904538
0.20375,0.118643,0.00503818,-0.0493102,-0.91922
0.20625,0.119669,0.0049841,-0.0413428,-0.93244
0.20875,0.12058,0.00494723,-0.0342561,-0.944178
0.21125,0.12138,0.00492518,-0.0280371,-0.954451
0.21375,0.122073,0.00491513,-0.0226557,-0.96331
0.21625,0.122664,0.00491411,-0.0180663,-0.970835
0.21875,0.123161,0.0049193,-0.0142108,-0.97713
0.22125,0.123573,0.00492825,-0.0110217,-0.982314
0.22375,0.123908,0.00493898,-0.00842569,-0.986517
0.22625,0.124177,0.00495001,-0.00634666,-0.989869
0.22875,0.124389,0.00496038,-0.00470922,-0.992499
0.23125,0.124553,0.00496951,-0.00344122,-0.994529
0.23375,0.124679,0.00497715,-0.00247601,-0.99607
0.23625,0.124772,0.0049833,-0.00175388,-0.99722
0.23875,0.124841,0.00498808,-0.00122293,-0.998063
0.24125,0.124891,0.00499167,-0.000839289,-0.998672
0.24375,0.124926,0.00499429,-0.000566891,-0.999104
0.24625,0.124951,0.00499617,-0.000376826,-0.999405
0.24875,0.124968,0.00499748,-0.000246499,-0.999611
0.25125,0.124979,0.00499837,-0.000158674,-0.999749
0.25375,0.124987,0.00499896,-0.000100509,-0.999841
0.25625,0.124992,0.00499935,-6.26463e-05,-0.999901
0.25875,0.124995,0.0049996,-3.84212e-05,-0.999939
0.26125,0.124997,0.00499976,-2.31858e-05,-0.999963
0.26375,0.124998,0.00499986,-1.3767e-05,-0.999978
0.26625,0.124999,0.00499992,-8.04293e-06,-0.999987
0.26875,0.124999,0.00499995,-4.62315e-06,-0.999993
0.27125,0.125,0.00499997,-2.61458e-06,-0.999996
0.27375,0.125,0.00499998,-1.45477e-06,-0.999998
0.27625,0.125,0.00499999,-7.96364e-07,-0.999999
0.27875,0.125,0.005,-4.28883e-07,-0.999999
0.28125,0.125,0.005,-2.27232e-07,-1
0.28375,0.125,0.005,-1.18438e-07,-1
0.28625,0.125,0.005,-6.07287e-08,-1
0.28875,0.125,0.005,-3.06315e-08,-1
0.29125,0.125,0.005,-1.51986e-08,-1
0.29375,0.125,0.005,-7.418e-09,-1
0.29625,0.125,0.005,-3.56129e-09,-1
0.29875,0.125,0.005,-1.68171e-09,-1
0.30125,0.125,0.005,-7.81099e-10,-1
0.30375,0.125,0.005,-3.56828e-10,-1
0.30625,0.125,0.005,-1.60323e-10,-1
0.30875,0.125,0.005,-7.08436e-11,-1
0.31125,0.125,0.005,-3.07865e-11,-1
0.31375,0.125,0.005,-1.31573e-11,-1
0.31625,0.125,0.005,-5.53004e-12,-1
0.31875,0.125,0.005,-2.28504e-12,-1
0.32125,0.125,0.005,-9.28459e-13,-1
0.32375,0.125,0.005,-3.70811e-13,-1
0.32625,0.125,0.005,-1.45154e-13,-1
0.32875,0.125,0.005,-5.60962e-14,-1
0.33125,0.125,0.005,-2.17269e-14,-1
0.33375,0.125,0.005,-7.62684e-15,-1
0.33625,0.125,0.005,-2.42945e-15,-1
0.33875,0.125,0.005,-8.5287e-16,-1
0.34125,0.125,0.005,-2.17393e-16,-1
0.34375,0.125,0.005,2.53739e-16,-1
0.34625,0.125,0.005,2.89371e-16,-1
0.34875,0.125,0.005,0,-1
0.35125,0.125,0.005,0,-1
0.35375,0.125,0.005,0,-1
0.35625,0.125,0.005,0,-1
0.35875,0.125,0.005,0,-1
0.36125,0.125,0.005,7.23673e-17,-1
0.36375,0.125,0.005,1.40942e-16,-1
0.36625,0.125,0.005,-2.30371e-16,-1
0.36875,0.125,0.005,-5.05789e-16,-1
0.37125,0.125,0.005,-5.92532e-16,-1
0.37375,0.125,0.005,-8.26619e-16,-1
0.37625,0.125,0.005,-1.01301e-15,-1
0.37875,0.125,0.005,-4.46613e-16,-1
0.38125,0.125,0.005,-2.53162e-16,-1
0.38375,0.125,0.005,3.01943e-17,-1
0.38625,0.125,0.005,2.33268e-16,-1
0.38875,0.125,0.005,2.21335e-16,-1
0.39125,0.125,0.005,1.15878e-16,-1
0.39375,0.125,0.005,-2.46372e-16,-1
0.39625,0.125,0.005,-9.18319e-17,-1
0.39875,0.125,0.005,-4.85889e-16,-1
0.40125,0.125,0.005,-5.57157e-16,-1
0.40375,0.125,0.005,-4.28506e-16,-1
0.40625,0.125,0.005,-3.23488e-16,-1
0.40875,0.125,0.005,1.73187e-16,-1
0.41125,0.125,0.005,2.02931e-16,-1
0.41375,0.125,0.005,-2.29921e-16,-1
0.41625,0.125,0.005,-2.69504e-16,-1
0.41875,0.125,0.005,-2.41319e-16,-1
0.42125,0.125,0.005,-6.39383e-18,-1
0.42375,0.125,0.005,-4.70403e-16,-1
0.42625,0.125,0.005,-3.40562e-16,-1
0.42875,0.125,0.005,9.03567e-17,-1
0.43125,0.125,0.005,2.78653e-16,-1
0.43375,0.125,0.005,-4.2648e-17,-1
0.43625,0.125,0.005,1.13001e-16,-1
0.43875,0.125,0.005,-1.0613e-16,-1
0.44125,0.125,0.005,-2.87398e-16,-1
0.44375,0.125,0.005,-2.47723e-16,-1
0.44625,0.125,0.005,-6.23189e-16,-1
0.44875,0.125,0.005,-1.35819e-15,-1
0.45125,0.125,0.005,-9.30512e-16,-1
0.45375,0.125,0.005,-7.29847e-16,-1
0.45625,0.125,0.005,-7.20152e-16,-1
0.45875,0.125,0.005,-9.98398e-16,-1
0.46125,0.125,0.005,-9.51625e-16,-1
0.46375,0.125,0.005,-1.22429e-15,-1
0.46625,0.125,0.005,-1.11129e-15,-1
0.46875,0.125,0.005,-1.19132e-15,-1
0.47125,0.125,0.005,-1.02785e-15,-1
0.47375,0.125,0.005,-1.28965e-15,-1
0.47625,0.125,0.005,-1.13054e-15,-1
0.47875,0.125,0.005,-9.65424e-16,-1
0.48125,0.125,0.005,-9.18556e-16,-1
0.48375,0.125,0.005,-1.41596e-15,-1
0.48625,0.125,0.005,-1.63541e-15,-1
0.48875,0.125,0.005,-1.84905e-15,-1
0.49125,0.125,0.005,-2.05267e-15,-1
0.49375,0.125,0.005,-2.43214e-15,-1
0.49625,0.125,0.005,-2.33056e-15,-1
0.49875,0.125,0.005,-2.19078e-15,-1
